Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,171.190002,171.250000,169.479996,170.029999,169.603378,46240500
2024-04-02,169.080002,169.339996,168.229996,168.839996,168.416351,49329500
2024-04-03,168.789993,170.679993,168.580002,169.649994,169.224319,47691700
2024-04-04,170.289993,171.919998,168.820007,168.820007,168.396423,53704400
2024-04-05,169.589996,170.389999,168.949997,169.580002,169.154495,42055200
2024-04-08,169.029999,169.199997,168.240005,168.449997,168.027344,37425500
2024-04-09,168.699997,170.080002,168.350006,169.669998,169.244278,42451200
2024-04-10,168.800003,169.089996,167.110001,167.779999,167.359024,49709300
2024-04-11,168.339996,175.460007,168.160004,175.039993,174.600800,91070300
2024-04-12,174.259995,178.360001,174.210007,176.550003,176.107025,101593300
2024-04-15,175.360001,176.630005,172.500000,172.690002,172.256699,73531800
2024-04-16,171.750000,173.759995,168.270004,169.380005,168.955017,73711200
2024-04-17,169.610001,170.649994,168.000000,168.000000,167.578476,50901200
2024-04-18,168.029999,168.639999,166.550003,167.039993,166.620880,43122900
2024-04-19,166.210007,166.399994,164.080002,165.000000,164.585999,67772100
2024-04-22,165.520004,167.259995,164.770004,165.839996,165.423874,48116400
2024-04-23,165.350006,167.050003,164.919998,166.899994,166.481216,49537800
2024-04-24,166.539993,169.300003,166.210007,169.020004,168.595917,48251800
2024-04-25,169.529999,170.610001,168.149994,169.889999,169.463730,50558300
2024-04-26,169.880005,171.339996,169.179993,169.300003,168.875214,44838400
2024-04-29,173.369995,176.029999,173.100006,173.500000,173.064667,68169400
2024-04-30,173.330002,174.990005,170.000000,170.330002,169.902634,65934800
2024-05-01,169.580002,172.710007,169.110001,169.300003,168.875214,50383100
2024-05-02,172.509995,173.419998,170.889999,173.029999,172.595840,94214900
2024-05-03,186.649994,187.000000,182.660004,183.380005,182.919876,163224100
2024-05-06,182.350006,184.199997,180.419998,181.710007,181.254089,78569700
2024-05-07,183.449997,184.899994,181.320007,182.399994,181.942322,77305800
2024-05-08,182.850006,183.070007,181.449997,182.740005,182.281494,45057100
2024-05-09,182.559998,184.660004,182.110001,184.570007,184.106903,48983000
2024-05-10,184.899994,185.089996,182.130005,183.050003,182.838364,50759500
2024-05-13,185.440002,187.100006,184.619995,186.279999,186.064636,72044800
2024-05-14,187.509995,188.300003,186.289993,187.429993,187.213303,52393600
2024-05-15,187.910004,190.649994,187.369995,189.720001,189.500656,70400000
2024-05-16,190.470001,191.100006,189.660004,189.839996,189.620514,52845200
2024-05-17,189.509995,190.809998,189.179993,189.869995,189.650482,41282900
2024-05-20,189.330002,191.919998,189.009995,191.039993,190.819122,44361300
2024-05-21,191.089996,192.729996,190.919998,192.350006,192.127625,42309400
2024-05-22,192.270004,192.820007,190.270004,190.899994,190.679291,34648500
2024-05-23,190.979996,191.000000,186.630005,186.880005,186.663940,51005900
2024-05-24,188.820007,190.580002,188.039993,189.979996,189.760345,36294600
2024-05-28,191.509995,193.000000,189.100006,189.990005,189.770355,52280100
2024-05-29,189.610001,192.250000,189.509995,190.289993,190.069992,53068000
2024-05-30,190.759995,192.179993,190.630005,191.289993,191.068832,49947900
2024-05-31,191.440002,192.570007,189.910004,192.250000,192.027725,75158300
2024-06-03,192.899994,194.990005,192.520004,194.029999,193.805664,50080500
2024-06-04,194.639999,195.320007,193.029999,194.350006,194.125305,47471400
2024-06-05,195.399994,196.899994,194.869995,195.869995,195.643539,54156800
2024-06-06,195.690002,196.500000,194.169998,194.479996,194.255142,41181800
2024-06-07,194.649994,196.940002,194.139999,196.889999,196.662369,53103900
2024-06-10,196.899994,197.300003,192.149994,193.119995,192.896713,97262100
2024-06-11,193.649994,207.160004,193.630005,207.149994,206.910492,172373300
2024-06-12,207.369995,220.199997,206.899994,213.070007,212.823669,198134300
2024-06-13,214.740005,216.750000,211.600006,214.240005,213.992310,97862700
2024-06-14,213.850006,215.169998,211.300003,212.490005,212.244339,70122700
2024-06-17,213.369995,218.949997,212.720001,216.669998,216.419495,93728300
2024-06-18,217.589996,218.630005,213.000000,214.289993,214.042236,79943300
2024-06-20,213.929993,214.240005,208.850006,209.679993,209.437576,86172500
2024-06-21,210.389999,211.889999,207.110001,207.490005,207.250122,246421400
2024-06-24,207.720001,212.699997,206.589996,208.139999,207.899353,80727000
2024-06-25,209.149994,211.380005,208.610001,209.070007,208.828293,56713900
2024-06-26,211.500000,214.860001,210.639999,213.250000,213.003448,66213200
2024-06-27,214.690002,215.740005,212.350006,214.100006,213.852478,49772700
2024-06-28,215.770004,216.070007,210.300003,210.619995,210.376480,82542700
2024-07-01,212.089996,217.509995,211.919998,216.750000,216.499405,60402900
2024-07-02,216.149994,220.380005,215.100006,220.270004,220.015335,58046200
2024-07-03,220.000000,221.550003,219.029999,221.550003,221.293854,37369800
2024-07-05,221.649994,226.449997,221.649994,226.339996,226.078308,60412400
2024-07-08,227.089996,227.850006,223.250000,227.820007,227.556610,59085900
2024-07-09,227.929993,229.399994,226.369995,228.679993,228.415604,48076100
2024-07-10,229.300003,233.080002,229.250000,232.979996,232.710632,62627700
2024-07-11,231.389999,232.389999,225.770004,227.570007,227.306900,64710600
2024-07-12,228.919998,232.639999,228.679993,230.539993,230.273453,53046500
2024-07-15,236.479996,237.229996,233.089996,234.399994,234.128998,62631300
2024-07-16,235.000000,236.270004,232.330002,234.820007,234.548523,43234300
2024-07-17,229.449997,231.460007,226.639999,228.880005,228.615387,57345900
2024-07-18,230.279999,230.440002,222.270004,224.179993,223.920807,66034600
2024-07-19,224.820007,226.800003,223.279999,224.309998,224.050659,49151500
2024-07-22,227.009995,227.779999,223.089996,223.960007,223.701080,48201800
2024-07-23,224.369995,226.940002,222.679993,225.009995,224.749847,39960300
2024-07-24,224.000000,224.800003,217.130005,218.539993,218.287323,61777600
2024-07-25,218.929993,220.850006,214.619995,217.490005,217.238556,51391200
2024-07-26,218.699997,219.490005,216.009995,217.960007,217.708008,41601300
2024-07-29,216.960007,219.300003,215.750000,218.240005,217.987686,36311800
2024-07-30,219.190002,220.330002,216.119995,218.800003,218.547043,41643800
2024-07-31,221.440002,223.820007,220.630005,222.080002,221.823242,50036300
2024-08-01,224.369995,224.479996,217.020004,218.360001,218.107544,62501000
2024-08-02,219.149994,225.600006,217.710007,219.860001,219.605804,105568600
2024-08-05,199.089996,213.500000,196.000000,209.270004,209.028061,119548600
2024-08-06,205.300003,209.990005,201.070007,207.229996,206.990402,69660500
2024-08-07,206.899994,213.639999,206.389999,209.820007,209.577423,63516400
2024-08-08,213.110001,214.199997,208.830002,213.309998,213.063385,47161100
2024-08-09,212.100006,216.779999,211.970001,216.240005,215.990005,42201600
2024-08-12,216.070007,219.509995,215.600006,217.529999,217.529999,38028100
2024-08-13,219.009995,221.889999,219.009995,221.270004,221.270004,44155300
2024-08-14,220.570007,223.029999,219.699997,221.720001,221.720001,41960600
2024-08-15,224.600006,225.350006,222.759995,224.720001,224.720001,46414000
2024-08-16,223.919998,226.830002,223.649994,226.050003,226.050003,44340200
2024-08-19,225.720001,225.990005,223.039993,225.889999,225.889999,40687800
2024-08-20,225.770004,227.169998,225.449997,226.509995,226.509995,30299000
2024-08-21,226.520004,227.979996,225.050003,226.399994,226.399994,34765500
2024-08-22,227.789993,228.339996,223.899994,224.529999,224.529999,43695300
2024-08-23,225.660004,228.220001,224.330002,226.839996,226.839996,38677300
2024-08-26,226.759995,227.279999,223.889999,227.179993,227.179993,30602200
2024-08-27,226.000000,228.850006,224.889999,228.029999,228.029999,35934600
2024-08-28,227.919998,229.860001,225.679993,226.490005,226.490005,38052200
2024-08-29,230.100006,232.919998,228.880005,229.789993,229.789993,51906300
2024-08-30,230.190002,230.399994,227.479996,229.000000,229.000000,52958500
